S0 P,S0 Brd,S0 BM,S1 P,S1 Brd,S1 BM,S2 P,S2 Brd,S2 BM,S3 P,S3 Brd,S3 BM,S4 P,S4 Brd,S4 BM,S5 P,S5 Brd,S5 BM,S6 P,S6 Brd,S6 BM,S7 P,S7 Brd,S7 BM,S8 P,S8 Brd,S8 BM,The winner
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,1,"[2, 0, 1, 0, 0, 0, 0, 0, 0]",8,2,"[2, 0, 1, 0, 0, 0, 0, 0, 1]",6,1,"[2, 0, 1, 0, 0, 0, 2, 0, 1]",3,2.0,"[2, 0, 1, 1, 0, 0, 2, 0, 1]",5.0,1.0,"[2, 0, 1, 1, 0, 2, 2, 0, 1]",1.0,2.0,"[2, 1, 1, 1, 0, 2, 2, 0, 1]",4.0,1.0,"[2, 1, 1, 1, 2, 2, 2, 0, 1]",7.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",4,2,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,"[2, 0, 0, 0, 1, 0, 0, 0, 0]",2,2,"[2, 0, 1, 0, 1, 0, 0, 0, 0]",6,1,"[2, 0, 1, 0, 1, 0, 2, 0, 0]",3,2.0,"[2, 0, 1, 1, 1, 0, 2, 0, 0]",5.0,1.0,"[2, 0, 1, 1, 1, 2, 2, 0, 0]",7.0,2.0,"[2, 0, 1, 1, 1, 2, 2, 1, 0]",1.0,1.0,"[2, 2, 1, 1, 1, 2, 2, 1, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",6,2,"[1, 0, 0, 0, 2, 0, 1, 0, 0]",3,1,"[1, 0, 0, 2, 2, 0, 1, 0, 0]",1,2.0,"[1, 1, 0, 2, 2, 0, 1, 0, 0]",2.0,1.0,"[1, 1, 2, 2, 2, 0, 1, 0, 0]",5.0,2.0,"[1, 1, 2, 2, 2, 1, 1, 0, 0]",7.0,1.0,"[1, 1, 2, 2, 2, 1, 1, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",4,1,"[0, 0, 1, 0, 2, 0, 0, 0, 0]",0,2,"[1, 0, 1, 0, 2, 0, 0, 0, 0]",1,1,"[1, 2, 1, 0, 2, 0, 0, 0, 0]",7,2.0,"[1, 2, 1, 0, 2, 0, 0, 1, 0]",3.0,1.0,"[1, 2, 1, 2, 2, 0, 0, 1, 0]",5.0,2.0,"[1, 2, 1, 2, 2, 1, 0, 1, 0]",8.0,1.0,"[1, 2, 1, 2, 2, 1, 0, 1, 2]",6.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",4,1,"[0, 1, 0, 0, 2, 0, 0, 0, 0]",2,2,"[0, 1, 1, 0, 2, 0, 0, 0, 0]",0,1,"[2, 1, 1, 0, 2, 0, 0, 0, 0]",8,2.0,"[2, 1, 1, 0, 2, 0, 0, 0, 1]",3.0,1.0,"[2, 1, 1, 2, 2, 0, 0, 0, 1]",6.0,2.0,"[2, 1, 1, 2, 2, 0, 1, 0, 1]",5.0,,,,2
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,1,"[2, 0, 1, 0, 0, 0, 0, 0, 0]",4,2,"[2, 0, 1, 0, 1, 0, 0, 0, 0]",6,1,"[2, 0, 1, 0, 1, 0, 2, 0, 0]",3,2.0,"[2, 0, 1, 1, 1, 0, 2, 0, 0]",5.0,1.0,"[2, 0, 1, 1, 1, 2, 2, 0, 0]",7.0,2.0,"[2, 0, 1, 1, 1, 2, 2, 1, 0]",1.0,1.0,"[2, 2, 1, 1, 1, 2, 2, 1, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",4,2,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,"[2, 0, 0, 0, 1, 0, 0, 0, 0]",3,2,"[2, 0, 0, 1, 1, 0, 0, 0, 0]",5,1,"[2, 0, 0, 1, 1, 2, 0, 0, 0]",1,2.0,"[2, 1, 0, 1, 1, 2, 0, 0, 0]",7.0,1.0,"[2, 1, 0, 1, 1, 2, 0, 2, 0]",2.0,2.0,"[2, 1, 1, 1, 1, 2, 0, 2, 0]",6.0,1.0,"[2, 1, 1, 1, 1, 2, 2, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",4,2,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,"[2, 0, 0, 0, 1, 0, 0, 0, 0]",1,2,"[2, 1, 0, 0, 1, 0, 0, 0, 0]",3,1,"[2, 1, 0, 2, 1, 0, 0, 0, 0]",6,2.0,"[2, 1, 0, 2, 1, 0, 1, 0, 0]",2.0,1.0,"[2, 1, 2, 2, 1, 0, 1, 0, 0]",7.0,,,,,,,1
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",5,2,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",0,1,"[2, 0, 0, 0, 0, 1, 0, 0, 0]",4,2,"[2, 0, 0, 0, 1, 1, 0, 0, 0]",2,1,"[2, 0, 2, 0, 1, 1, 0, 0, 0]",1,2.0,"[2, 1, 2, 0, 1, 1, 0, 0, 0]",3.0,1.0,"[2, 1, 2, 2, 1, 1, 0, 0, 0]",6.0,2.0,"[2, 1, 2, 2, 1, 1, 1, 0, 0]",7.0,1.0,"[2, 1, 2, 2, 1, 1, 1, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",4,2,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,"[2, 0, 0, 0, 1, 0, 0, 0, 0]",1,2,"[2, 1, 0, 0, 1, 0, 0, 0, 0]",3,1,"[2, 1, 0, 2, 1, 0, 0, 0, 0]",6,2.0,"[2, 1, 0, 2, 1, 0, 1, 0, 0]",7.0,1.0,"[2, 1, 0, 2, 1, 0, 1, 2, 0]",2.0,,,,,,,1
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",4,1,"[0, 1, 0, 0, 2, 0, 0, 0, 0]",6,2,"[0, 1, 0, 0, 2, 0, 1, 0, 0]",0,1,"[2, 1, 0, 0, 2, 0, 1, 0, 0]",8,2.0,"[2, 1, 0, 0, 2, 0, 1, 0, 1]",5.0,1.0,"[2, 1, 0, 0, 2, 2, 1, 0, 1]",3.0,2.0,"[2, 1, 0, 1, 2, 2, 1, 0, 1]",7.0,1.0,"[2, 1, 0, 1, 2, 2, 1, 2, 1]",2.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",3,2,"[1, 0, 0, 1, 2, 0, 0, 0, 0]",6,1,"[1, 0, 0, 1, 2, 0, 2, 0, 0]",2,2.0,"[1, 0, 1, 1, 2, 0, 2, 0, 0]",1.0,1.0,"[1, 2, 1, 1, 2, 0, 2, 0, 0]",7.0,2.0,"[1, 2, 1, 1, 2, 0, 2, 1, 0]",8.0,1.0,"[1, 2, 1, 1, 2, 0, 2, 1, 2]",5.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",4,1,"[0, 0, 1, 0, 2, 0, 0, 0, 0]",0,2,"[1, 0, 1, 0, 2, 0, 0, 0, 0]",1,1,"[1, 2, 1, 0, 2, 0, 0, 0, 0]",3,2.0,"[1, 2, 1, 1, 2, 0, 0, 0, 0]",6.0,1.0,"[1, 2, 1, 1, 2, 0, 2, 0, 0]",7.0,2.0,"[1, 2, 1, 1, 2, 0, 2, 1, 0]",8.0,1.0,"[1, 2, 1, 1, 2, 0, 2, 1, 2]",5.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",2,2,"[1, 0, 1, 0, 2, 0, 0, 0, 0]",1,1,"[1, 2, 1, 0, 2, 0, 0, 0, 0]",7,2.0,"[1, 2, 1, 0, 2, 0, 0, 1, 0]",3.0,1.0,"[1, 2, 1, 2, 2, 0, 0, 1, 0]",5.0,2.0,"[1, 2, 1, 2, 2, 1, 0, 1, 0]",8.0,1.0,"[1, 2, 1, 2, 2, 1, 0, 1, 2]",6.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",6,2,"[1, 0, 0, 0, 2, 0, 1, 0, 0]",3,1,"[1, 0, 0, 2, 2, 0, 1, 0, 0]",1,2.0,"[1, 1, 0, 2, 2, 0, 1, 0, 0]",2.0,1.0,"[1, 1, 2, 2, 2, 0, 1, 0, 0]",5.0,2.0,"[1, 1, 2, 2, 2, 1, 1, 0, 0]",8.0,1.0,"[1, 1, 2, 2, 2, 1, 1, 0, 2]",7.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",6,2,"[1, 0, 0, 0, 2, 0, 1, 0, 0]",3,1,"[1, 0, 0, 2, 2, 0, 1, 0, 0]",7,2.0,"[1, 0, 0, 2, 2, 0, 1, 1, 0]",5.0,,,,,,,,,,2
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",6,2,"[1, 0, 0, 0, 2, 0, 1, 0, 0]",3,1,"[1, 0, 0, 2, 2, 0, 1, 0, 0]",1,2.0,"[1, 1, 0, 2, 2, 0, 1, 0, 0]",2.0,1.0,"[1, 1, 2, 2, 2, 0, 1, 0, 0]",5.0,2.0,"[1, 1, 2, 2, 2, 1, 1, 0, 0]",8.0,1.0,"[1, 1, 2, 2, 2, 1, 1, 0, 2]",7.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,1,"[2, 0, 1, 0, 0, 0, 0, 0, 0]",4,2,"[2, 0, 1, 0, 1, 0, 0, 0, 0]",6,1,"[2, 0, 1, 0, 1, 0, 2, 0, 0]",3,2.0,"[2, 0, 1, 1, 1, 0, 2, 0, 0]",5.0,1.0,"[2, 0, 1, 1, 1, 2, 2, 0, 0]",1.0,2.0,"[2, 1, 1, 1, 1, 2, 2, 0, 0]",7.0,1.0,"[2, 1, 1, 1, 1, 2, 2, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",6,2,"[1, 0, 0, 0, 2, 0, 1, 0, 0]",3,1,"[1, 0, 0, 2, 2, 0, 1, 0, 0]",5,2.0,"[1, 0, 0, 2, 2, 1, 1, 0, 0]",7.0,1.0,"[1, 0, 0, 2, 2, 1, 1, 2, 0]",1.0,2.0,"[1, 1, 0, 2, 2, 1, 1, 2, 0]",2.0,1.0,"[1, 1, 2, 2, 2, 1, 1, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",7,2,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,1,"[2, 0, 0, 0, 0, 0, 0, 1, 0]",4,2,"[2, 0, 0, 0, 1, 0, 0, 1, 0]",1,1,"[2, 2, 0, 0, 1, 0, 0, 1, 0]",2,2.0,"[2, 2, 1, 0, 1, 0, 0, 1, 0]",6.0,1.0,"[2, 2, 1, 0, 1, 0, 2, 1, 0]",3.0,2.0,"[2, 2, 1, 1, 1, 0, 2, 1, 0]",5.0,1.0,"[2, 2, 1, 1, 1, 2, 2, 1, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",6,2,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",0,1,"[2, 0, 0, 0, 0, 0, 1, 0, 0]",1,2,"[2, 1, 0, 0, 0, 0, 1, 0, 0]",4,1,"[2, 1, 0, 0, 2, 0, 1, 0, 0]",8,2.0,"[2, 1, 0, 0, 2, 0, 1, 0, 1]",5.0,1.0,"[2, 1, 0, 0, 2, 2, 1, 0, 1]",3.0,2.0,"[2, 1, 0, 1, 2, 2, 1, 0, 1]",7.0,1.0,"[2, 1, 0, 1, 2, 2, 1, 2, 1]",2.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",7,2,"[1, 0, 0, 0, 2, 0, 0, 1, 0]",2,1,"[1, 0, 2, 0, 2, 0, 0, 1, 0]",6,2.0,"[1, 0, 2, 0, 2, 0, 1, 1, 0]",3.0,1.0,"[1, 0, 2, 2, 2, 0, 1, 1, 0]",5.0,2.0,"[1, 0, 2, 2, 2, 1, 1, 1, 0]",8.0,1.0,"[1, 0, 2, 2, 2, 1, 1, 1, 2]",1.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",0,1,"[2, 1, 0, 0, 0, 0, 0, 0, 0]",4,2,"[2, 1, 0, 0, 1, 0, 0, 0, 0]",7,1,"[2, 1, 0, 0, 1, 0, 0, 2, 0]",3,2.0,"[2, 1, 0, 1, 1, 0, 0, 2, 0]",5.0,1.0,"[2, 1, 0, 1, 1, 2, 0, 2, 0]",6.0,2.0,"[2, 1, 0, 1, 1, 2, 1, 2, 0]",2.0,1.0,"[2, 1, 2, 1, 1, 2, 1, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",4,1,"[0, 0, 1, 0, 2, 0, 0, 0, 0]",8,2,"[0, 0, 1, 0, 2, 0, 0, 0, 1]",1,1,"[0, 2, 1, 0, 2, 0, 0, 0, 1]",7,2.0,"[0, 2, 1, 0, 2, 0, 0, 1, 1]",5.0,1.0,"[0, 2, 1, 0, 2, 2, 0, 1, 1]",3.0,2.0,"[0, 2, 1, 1, 2, 2, 0, 1, 1]",6.0,1.0,"[0, 2, 1, 1, 2, 2, 2, 1, 1]",0.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",6,2,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",4,1,"[0, 0, 0, 0, 2, 0, 1, 0, 0]",3,2,"[0, 0, 0, 1, 2, 0, 1, 0, 0]",0,1,"[2, 0, 0, 1, 2, 0, 1, 0, 0]",8,2.0,"[2, 0, 0, 1, 2, 0, 1, 0, 1]",1.0,1.0,"[2, 2, 0, 1, 2, 0, 1, 0, 1]",7.0,,,,,,,1
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",4,2,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,"[2, 0, 0, 0, 1, 0, 0, 0, 0]",6,2,"[2, 0, 0, 0, 1, 0, 1, 0, 0]",2,1,"[2, 0, 2, 0, 1, 0, 1, 0, 0]",1,2.0,"[2, 1, 2, 0, 1, 0, 1, 0, 0]",7.0,1.0,"[2, 1, 2, 0, 1, 0, 1, 2, 0]",3.0,2.0,"[2, 1, 2, 1, 1, 0, 1, 2, 0]",5.0,1.0,"[2, 1, 2, 1, 1, 2, 1, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",6,2,"[1, 0, 0, 0, 2, 0, 1, 0, 0]",3,1,"[1, 0, 0, 2, 2, 0, 1, 0, 0]",5,2.0,"[1, 0, 0, 2, 2, 1, 1, 0, 0]",7.0,1.0,"[1, 0, 0, 2, 2, 1, 1, 2, 0]",1.0,2.0,"[1, 1, 0, 2, 2, 1, 1, 2, 0]",2.0,1.0,"[1, 1, 2, 2, 2, 1, 1, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,1,"[2, 0, 1, 0, 0, 0, 0, 0, 0]",6,2,"[2, 0, 1, 0, 0, 0, 1, 0, 0]",4,1,"[2, 0, 1, 0, 2, 0, 1, 0, 0]",8,2.0,"[2, 0, 1, 0, 2, 0, 1, 0, 1]",7.0,1.0,"[2, 0, 1, 0, 2, 0, 1, 2, 1]",1.0,2.0,"[2, 1, 1, 0, 2, 0, 1, 2, 1]",5.0,1.0,"[2, 1, 1, 0, 2, 2, 1, 2, 1]",3.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",1,2,"[1, 1, 0, 0, 2, 0, 0, 0, 0]",2,1,"[1, 1, 2, 0, 2, 0, 0, 0, 0]",6,2.0,"[1, 1, 2, 0, 2, 0, 1, 0, 0]",3.0,1.0,"[1, 1, 2, 2, 2, 0, 1, 0, 0]",5.0,2.0,"[1, 1, 2, 2, 2, 1, 1, 0, 0]",7.0,1.0,"[1, 1, 2, 2, 2, 1, 1, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",2,2,"[1, 0, 1, 0, 2, 0, 0, 0, 0]",1,1,"[1, 2, 1, 0, 2, 0, 0, 0, 0]",7,2.0,"[1, 2, 1, 0, 2, 0, 0, 1, 0]",3.0,1.0,"[1, 2, 1, 2, 2, 0, 0, 1, 0]",5.0,2.0,"[1, 2, 1, 2, 2, 1, 0, 1, 0]",8.0,1.0,"[1, 2, 1, 2, 2, 1, 0, 1, 2]",6.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",4,2,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,"[2, 0, 0, 0, 1, 0, 0, 0, 0]",6,2,"[2, 0, 0, 0, 1, 0, 1, 0, 0]",2,1,"[2, 0, 2, 0, 1, 0, 1, 0, 0]",1,2.0,"[2, 1, 2, 0, 1, 0, 1, 0, 0]",7.0,1.0,"[2, 1, 2, 0, 1, 0, 1, 2, 0]",3.0,2.0,"[2, 1, 2, 1, 1, 0, 1, 2, 0]",5.0,1.0,"[2, 1, 2, 1, 1, 2, 1, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",2,2,"[1, 0, 1, 0, 2, 0, 0, 0, 0]",1,1,"[1, 2, 1, 0, 2, 0, 0, 0, 0]",7,2.0,"[1, 2, 1, 0, 2, 0, 0, 1, 0]",5.0,1.0,"[1, 2, 1, 0, 2, 2, 0, 1, 0]",3.0,2.0,"[1, 2, 1, 1, 2, 2, 0, 1, 0]",6.0,1.0,"[1, 2, 1, 1, 2, 2, 2, 1, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",4,2,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,"[2, 0, 0, 0, 1, 0, 0, 0, 0]",2,2,"[2, 0, 1, 0, 1, 0, 0, 0, 0]",6,1,"[2, 0, 1, 0, 1, 0, 2, 0, 0]",3,2.0,"[2, 0, 1, 1, 1, 0, 2, 0, 0]",5.0,1.0,"[2, 0, 1, 1, 1, 2, 2, 0, 0]",7.0,2.0,"[2, 0, 1, 1, 1, 2, 2, 1, 0]",1.0,1.0,"[2, 2, 1, 1, 1, 2, 2, 1, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",6,2,"[1, 0, 0, 0, 2, 0, 1, 0, 0]",3,1,"[1, 0, 0, 2, 2, 0, 1, 0, 0]",1,2.0,"[1, 1, 0, 2, 2, 0, 1, 0, 0]",2.0,1.0,"[1, 1, 2, 2, 2, 0, 1, 0, 0]",5.0,2.0,"[1, 1, 2, 2, 2, 1, 1, 0, 0]",7.0,1.0,"[1, 1, 2, 2, 2, 1, 1, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",4,1,"[0, 1, 0, 0, 2, 0, 0, 0, 0]",0,2,"[1, 1, 0, 0, 2, 0, 0, 0, 0]",2,1,"[1, 1, 2, 0, 2, 0, 0, 0, 0]",6,2.0,"[1, 1, 2, 0, 2, 0, 1, 0, 0]",3.0,1.0,"[1, 1, 2, 2, 2, 0, 1, 0, 0]",5.0,2.0,"[1, 1, 2, 2, 2, 1, 1, 0, 0]",7.0,1.0,"[1, 1, 2, 2, 2, 1, 1, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",4,2,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,"[2, 0, 0, 0, 1, 0, 0, 0, 0]",2,2,"[2, 0, 1, 0, 1, 0, 0, 0, 0]",6,1,"[2, 0, 1, 0, 1, 0, 2, 0, 0]",3,2.0,"[2, 0, 1, 1, 1, 0, 2, 0, 0]",5.0,1.0,"[2, 0, 1, 1, 1, 2, 2, 0, 0]",1.0,2.0,"[2, 1, 1, 1, 1, 2, 2, 0, 0]",7.0,1.0,"[2, 1, 1, 1, 1, 2, 2, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",4,2,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,"[2, 0, 0, 0, 1, 0, 0, 0, 0]",2,2,"[2, 0, 1, 0, 1, 0, 0, 0, 0]",6,1,"[2, 0, 1, 0, 1, 0, 2, 0, 0]",3,2.0,"[2, 0, 1, 1, 1, 0, 2, 0, 0]",5.0,1.0,"[2, 0, 1, 1, 1, 2, 2, 0, 0]",7.0,2.0,"[2, 0, 1, 1, 1, 2, 2, 1, 0]",1.0,1.0,"[2, 2, 1, 1, 1, 2, 2, 1, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,1,"[2, 0, 1, 0, 0, 0, 0, 0, 0]",4,2,"[2, 0, 1, 0, 1, 0, 0, 0, 0]",6,1,"[2, 0, 1, 0, 1, 0, 2, 0, 0]",3,2.0,"[2, 0, 1, 1, 1, 0, 2, 0, 0]",5.0,1.0,"[2, 0, 1, 1, 1, 2, 2, 0, 0]",7.0,2.0,"[2, 0, 1, 1, 1, 2, 2, 1, 0]",1.0,1.0,"[2, 2, 1, 1, 1, 2, 2, 1, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",2,2,"[1, 0, 1, 0, 2, 0, 0, 0, 0]",1,1,"[1, 2, 1, 0, 2, 0, 0, 0, 0]",5,2.0,"[1, 2, 1, 0, 2, 1, 0, 0, 0]",7.0,,,,,,,,,,2
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",2,2,"[1, 0, 1, 0, 2, 0, 0, 0, 0]",1,1,"[1, 2, 1, 0, 2, 0, 0, 0, 0]",3,2.0,"[1, 2, 1, 1, 2, 0, 0, 0, 0]",6.0,1.0,"[1, 2, 1, 1, 2, 0, 2, 0, 0]",7.0,2.0,"[1, 2, 1, 1, 2, 0, 2, 1, 0]",8.0,1.0,"[1, 2, 1, 1, 2, 0, 2, 1, 2]",5.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",4,2,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,"[2, 0, 0, 0, 1, 0, 0, 0, 0]",3,2,"[2, 0, 0, 1, 1, 0, 0, 0, 0]",5,1,"[2, 0, 0, 1, 1, 2, 0, 0, 0]",1,2.0,"[2, 1, 0, 1, 1, 2, 0, 0, 0]",7.0,1.0,"[2, 1, 0, 1, 1, 2, 0, 2, 0]",2.0,2.0,"[2, 1, 1, 1, 1, 2, 0, 2, 0]",6.0,1.0,"[2, 1, 1, 1, 1, 2, 2, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",6,2,"[1, 0, 0, 0, 2, 0, 1, 0, 0]",3,1,"[1, 0, 0, 2, 2, 0, 1, 0, 0]",1,2.0,"[1, 1, 0, 2, 2, 0, 1, 0, 0]",2.0,1.0,"[1, 1, 2, 2, 2, 0, 1, 0, 0]",5.0,2.0,"[1, 1, 2, 2, 2, 1, 1, 0, 0]",7.0,1.0,"[1, 1, 2, 2, 2, 1, 1, 2, 0]",8.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",8,2,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,1,"[0, 0, 0, 0, 2, 0, 0, 0, 1]",6,2,"[0, 0, 0, 0, 2, 0, 1, 0, 1]",3,1,"[0, 0, 0, 2, 2, 0, 1, 0, 1]",5,2.0,"[0, 0, 0, 2, 2, 1, 1, 0, 1]",7.0,1.0,"[0, 0, 0, 2, 2, 1, 1, 2, 1]",1.0,2.0,"[0, 1, 0, 2, 2, 1, 1, 2, 1]",2.0,1.0,"[0, 1, 2, 2, 2, 1, 1, 2, 1]",0.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",6,2,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",0,1,"[2, 0, 0, 0, 0, 0, 1, 0, 0]",8,2,"[2, 0, 0, 0, 0, 0, 1, 0, 1]",2,1,"[2, 0, 2, 0, 0, 0, 1, 0, 1]",1,2.0,"[2, 1, 2, 0, 0, 0, 1, 0, 1]",7.0,1.0,"[2, 1, 2, 0, 0, 0, 1, 2, 1]",4.0,2.0,"[2, 1, 2, 0, 1, 0, 1, 2, 1]",5.0,1.0,"[2, 1, 2, 0, 1, 2, 1, 2, 1]",3.0,0
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",4,1,"[0, 0, 1, 0, 2, 0, 0, 0, 0]",1,2,"[0, 1, 1, 0, 2, 0, 0, 0, 0]",0,1,"[2, 1, 1, 0, 2, 0, 0, 0, 0]",8,2.0,"[2, 1, 1, 0, 2, 0, 0, 0, 1]",3.0,1.0,"[2, 1, 1, 2, 2, 0, 0, 0, 1]",6.0,2.0,"[2, 1, 1, 2, 2, 0, 1, 0, 1]",5.0,,,,2
